UniqueSale,Parcel_No,SalePrice,LivingArea,LAND_SF,YR_BUILT,YR_REMOD,Last_Work,NewlyRemodeled,GROSS_AREA,LIVING_ARE,NUM_FLOORS,R_TOTAL_RM,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,SaleSeason,SaleMonth,Style,ZIPCODE,PTYPE,OWN_OCC,LU,STRUCTURE_,R_BLDG_STY,R_ROOF_TYP,R_EXT_FIN,HEAT_SYS,C_AC,Latitude_1,Longitud_1,FeetToParks,Neighborhood,WalkScore,TransitSco,BikeScore,FeetToMetro,MEDHHINC,PCTBACHMOR,PCTOWNEROC,PCTVACANT,PCTWHITE,CrimeIndex,NearUni,SchoolGrade,DistToCBD,NearImpBldg,NearCommonwealth,DistToPoor,NearAP,Ave_SalePr,Dist_AP,Dist_SC,Dist_Major_Road
1,100032000,450000,1966,2500,1900,1978,1978,0,3111,1966,2,10,4,2,0,2,0,Summer,Jul,Conventional,2128,104,1,R2,R,CV,H,M,1,0,42.37963,-71.03076,502,East Boston,94,67,76,1923,63606,14,40,2,70,4.5,0,7,7545,0,0,2290,0,438200,5630.175936,1141.236321,1183.556721
2,100058000,600000,3651,1865,1910,1975,1975,0,5603,3840,3,17,8,3,0,3,0,Summer,Jun,Semi Det,2128,105,0,R3,R,SD,F,B,1,0,42.378766,-71.029428,442,East Boston,94,67,76,1617,64665,10,3,2,73,3.08,0,7,7667,0,0,2623,0,351200,5180.399377,1244.276161,705.3692844
3,100073000,0,4246,2907,1910,0,1910,0,6010,4246,3,20,9,3,0,3,0,Summer,Aug,Decker,2128,105,1,R3,R,DK,F,M,1,0,42.379395,-71.02846,579,East Boston,94,67,76,1503,64665,10,3,2,73,3.08,0,7,38462,0,0,2277,0,396800,5270.375549,1520.769393,664.8994397
4,100112000,670000,2295,1431,1905,2013,2013,1,3482,2295,3,14,6,3,0,3,0,Spring,May,Row End,2128,105,0,R3,R,RE,F,M,1,0,42.380145,-71.02859,463,East Boston,94,67,76,1545,64665,10,3,2,73,3.08,0,7,8011,0,0,2113,0,399600,5534.380128,1596.890749,870.80205
5,100137000,260000,1197,1250,1860,1976,1976,0,1785,1197,2,5,2,1,1,1,0,Summer,Jun,Colonial,2128,101,0,R1,R,CL,F,P,1,0,42.37967,-71.02903,635,East Boston,94,67,76,1654,64665,10,3,2,73,3.08,0,7,8133,0,0,2317,0,415800,5426.16982,1432.254891,846.2097602
6,100138000,355000,1859,1250,1905,2012,2012,1,2198,1859,1.5,8,3,3,0,2,0,Summer,Jul,Conventional,2128,104,0,R2,R,CV,G,M,1,0,42.379534,-71.028949,651,East Boston,94,67,76,1632,64665,10,3,2,73,3.08,0,7,7937,0,0,2334,0,396800,5372.012856,1430.003284,796.8375377
7,100174000,665000,2925,1825,1900,2011,2011,1,4341,2925,3,14,8,3,0,3,0,Summer,Jun,Decker,2128,105,0,R3,R,DK,F,M,1,0,42.38097,-71.02836,190,East Boston,94,67,76,1549,63606,14,40,2,70,4.5,0,7,7928,0,0,1879,0,354500,5787.825767,1794.069466,985.1792854
8,100181000,355000,2945,2500,1890,1997,1997,0,3892,2904,3,14,6,3,0,3,0,Summer,Jun,Decker,2128,985,0,E,R,DK,F,A,1,0,42.38051,-71.02837,343,East Boston,94,67,76,1508,63606,14,40,2,70,4.5,0,7,8357,0,0,1982,0,447600,5633.56705,1704.504322,900.1325022
9,100189000,363000,1184,1517,1900,0,1900,0,1658,892,2,4,2,1,0,1,0,Fall,Nov,Row End,2128,101,0,R1,R,RE,G,A,1,0,42.38034,-71.0291,391,East Boston,94,67,76,1691,63606,14,40,2,70,4.5,0,7,8257,0,0,2176,0,372200,5655.454747,1531.706768,1021.527525
10,100194000,370000,1916,2500,1900,0,1900,0,3318,1916,2,9,2,2,0,2,0,Winter,Dec,Two Fam Stack,2128,104,1,R2,R,TF,F,M,1,0,42.380141,-71.029458,464,East Boston,94,67,76,1778,63606,14,40,2,70,4.5,0,7,8060,0,0,2297,0,393800,5630.933942,1429.453525,1047.356021
